b1,510000000.051
gmgenesis111,16.792
gugenesis111,7833.951
gygenesis111,13163.084
hagenesis111,51000.034
hegenesis111,444361.150
geyagenesis1,85800.224
ge2agenesis1,12.445
gi3agenesis1,543.504
gm2qgenesis1,41.470
gq3agenesis1,106904.632
gq4agenesis1,4590.184
gq4qgenesis1,5905.064
guyagenesis1,24.494
guzqgenesis1,3046.219
gu2agenesis1,883.602
gu2qgenesis1,8.478
gu3agenesis1,172.302
gyyagenesis1,31298.148
g4yagenesis1,30.748
ha3qgenesis1,10309.305
ha4agenesis1,43398.282
hezqgenesis1,2554.760
he3agenesis1,723.691
geydogenesis,4125.244
geytmgenesis,103.800
ge2digenesis,7081.097
ge2dkgenesis,16.830
ge2dmgenesis,3119.764
ge2tagenesis,535.500
ge3digenesis,1029.871
ge3dmgenesis,5102.767
ge3tagenesis,50.952
ge3tegenesis,2550.000
ge4dggenesis,15.646
ge4dogenesis,856.956
ge4dsgenesis,1928.475
ge4tmgenesis,15.476
giydggenesis,23662.732
giydmgenesis,185.418
giytigenesis,11.157
gizdogenesis,51400.726
giztagenesis,50.577
giztcgenesis,2040.001
giztegenesis,7306.396
giztsgenesis,324.595
gi2tqgenesis,6.850
gi3dcgenesis,8.501
gi3degenesis,5.101
gi3tggenesis,56328.991
gi4tagenesis,143498.956
gi4tkgenesis,10699.206
gi4tmgenesis,21419.902
gmydagenesis,10324.912
gmydcgenesis,102001.749
gmydigenesis,2433.697
gmydqgenesis,2121.124
gmydsgenesis,2856.001
gmytegenesis,89184.518
gmzdcgenesis,10246.148
gmzdsgenesis,91.518
gmztsgenesis,8.671
gm2dqgenesis,136.863
gm2dsgenesis,138.230
gm2tcgenesis,5.974
gm2tigenesis,11.571
gm3dkgenesis,257041.313
gm3dsgenesis,9.813
gm3tggenesis,1816.886
gm3togenesis,533.873
gm4dogenesis,512.551
gqydggenesis,6.243
gqydmgenesis,21069.561
gqzdagenesis,52833.942
gqzdegenesis,4100.800
gqzdggenesis,5110.068
gqzdqgenesis,11731.716
gqzdsgenesis,3310.186
gqztegenesis,42742.177
gq2tggenesis,268.011
gq2tsgenesis,252782.155
gq3dggenesis,68.869
gq3digenesis,1146.763
